index,timestamp,category,title,filename,method,chosen_candidate,note
1,00:02:10,definition,What BPM stands for,001_000210_what-bpm-stands-for.jpg,vision-verified,001_000210_what-bpm-stands-for__c1_t154.jpg,"Shows the graphical Designer with a complete workflow/flow diagram open, illustrating BPM as a graphical process modeler used to design flows."
2,00:04:16,concept-intro,"Process = activities, drawn in the Designer",002_000416_process-activities-drawn-in-the-designer.jpg,vision-verified,002_000416_process-activities-drawn-in-the-designer__c3_t280.jpg,"Shows a newly created 'APPROVAZIONE EDP' activity box connected via a link line into the flow, demonstrating an activity placed and wired up by drag-and-drop in the Designer."
3,00:04:58,concept-intro,Task and Start shapes,003_000458_task-and-start-shapes.jpg,vision-verified,003_000458_task-and-start-shapes__c0_t298.jpg,Shows the Designer canvas with the green circle Start event and rectangular Task activity boxes clearly visible together.
4,00:05:11,concept-intro,Gateway (diamond) for branching,004_000511_gateway-diamond-for-branching.jpg,vision-verified,004_000511_gateway-diamond-for-branching__c4_t402.jpg,"Shows the small white diamond gateway shapes at multiple branch points along the process flow, matching the described branching/condition element."
5,00:07:07,concept-intro,Operations = automations,005_000707_operations-automations.jpg,vision-verified,005_000707_operations-automations__c4_t506.jpg,"Shows the expanded 'Operazioni' panel listing automation objects (Send Email, Get Data, Rest api call, SQL/OLEDB, etc.), matching the description of Operations as automation objects."
6,00:08:48,concept-intro,"Users & roles: executor, responsible, CC",006_000848_users-roles-executor-responsible-cc.jpg,vision-verified,006_000848_users-roles-executor-responsible-cc__c2_t552.jpg,"Shows the 'Impostazioni Utenti' dialog with explicit Esecutore (Executor), Resp. (Responsible) and CC checkbox columns per user."
7,00:09:52,concept,To-Do List is the execution mechanism,,vision-verified-none,,"All 6 candidates continue showing the Users settings dialog, a right-click context menu, or the process diagram in the Designer; none show an actual To-Do List screen."
8,00:11:17,concept-intro,"Process variables (""magazzino"")",008_001117_process-variables-magazzino.jpg,vision-verified,008_001117_process-variables-magazzino__c1_t701.jpg,"Shows the Variabili (variables) editor/form designer with the process's information fields (Richiedente, Data, Numero Investimento, etc.), matching the description of process variables defined via a form designer."
9,00:15:36,definition,Publishing a process,009_001536_publishing-a-process.jpg,vision-verified,009_001536_publishing-a-process__c3_t993.jpg,"Shows the confirmation popup 'La versione R00 è stata pubblicata. Aggiornamento: 2', directly depicting the act of publishing a process and its version."
10,00:17:14,demo-start,Starting a process instance,010_001714_starting-a-process-instance.jpg,vision-verified,010_001714_starting-a-process-instance__c2_t1078.jpg,"Shows the process Start form (Inserimento Richiesta) with red validation icons on mandatory fields, matching the described mandatory-field validation during Avvia processo."
11,00:19:06,concept-intro,Watching the token move,011_001906_watching-the-token-move.jpg,vision-verified,011_001906_watching-the-token-move__c2_t1194.jpg,"Shows the running process's graphical view with the 'INSERITO' step filled green (completed) and 'PRESA VISIONE DA SICUREZZA' highlighted yellow as the active task, depicting the token's current position."
12,00:24:41,demo,Searching and filtering process instances,012_002441_searching-and-filtering-process-instances.jpg,vision-verified,012_002441_searching-and-filtering-process-instances__c1_t1505.jpg,"Shows the process search page with filter fields (user, dates, state, etc.) and a results grid returning one process-instance row, matching the search/filter description."
13,00:28:35,concept-intro,Client vs. architecture overview,013_002835_client-vs-architecture-overview.jpg,vision-verified,013_002835_client-vs-architecture-overview__c4_t1811.jpg,"Shows the browser-based BPM web app with its Todo list, Start new process and Search for processes menu loaded, i.e. the operational-only Web app side of the client-vs-web contrast."
14,00:36:29,demo-start,Designer menu tour,014_003629_designer-menu-tour.jpg,vision-verified,014_003629_designer-menu-tour__c3_t2261.jpg,"Shows the full left navigation menu with Sistema selected, listing Strumenti di verifica (debug tools), matching the menu tour's system/debug-tools item."
15,00:39:42,definition,Model vs. process instance,,vision-verified-none,,"This is a purely verbal definition contrasting a process template with a running instance; all six candidates show only an empty design canvas or the models list, none depicting a running process instance."
16,00:41:16,tip,"Sketch first, refine later",016_004116_sketch-first-refine-later.jpg,vision-verified,016_004116_sketch-first-refine-later__c2_t2500.jpg,"Shows the canvas with just the Start node and a single freshly-dropped Activity1 box, capturing the moment of quickly roughing out the diagram before refining it."
17,00:42:19,tutorial-step,Creating and naming activities,017_004219_creating-and-naming-activities.jpg,vision-verified,017_004219_creating-and-naming-activities__c1_t2563.jpg,"Shows the right-click context menu on the activity box with the ""Modifica testo"" option visible, exactly the described way to rename an activity's display text."
18,00:44:44,tutorial-step,Connecting activities with the Link tool,018_004444_connecting-activities-with-the-link-tool.jpg,vision-verified,018_004444_connecting-activities-with-the-link-tool__c4_t2780.jpg,"Shows the Link tool selected with arrows already connecting all three activities and the ""Stessa larghezza"" alignment tooltip, matching the link-and-alignment-tools description."
19,00:46:48,concept-intro,State objects (milestones),019_004648_state-objects-milestones.jpg,vision-verified,019_004648_state-objects-milestones__c5_t2875.jpg,"Shows the ""APPROVATA"" state object placed in the flow after the approval activities, the exact checkpoint example given in the description."
20,00:47:57,tip,"End is optional, cosmetic",020_004757_end-is-optional-cosmetic.jpg,vision-verified,020_004757_end-is-optional-cosmetic__c5_t2908.jpg,"Shows the small red ""Fine"" end marker connected by an arrow after APPROVATA, illustrating the optional, purely cosmetic end object."
21,00:48:30,concept-intro,Fine vs. Termina processo,021_004830_fine-vs-termina-processo.jpg,vision-verified,021_004830_fine-vs-termina-processo__c1_t2923.jpg,"Shows both the ""Fine"" and ""Termina processo"" palette objects together with the cursor on Termina processo, directly illustrating the contrast the narration draws between them."
22,00:49:37,tutorial-step,Sketching loop-back / rejection paths,022_004937_sketching-loop-back-rejection-paths.jpg,vision-verified,022_004937_sketching-loop-back-rejection-paths__c5_t3097.jpg,"Shows the completed ""back to requester"" loop into Approvazione controllo di gestione together with the new ""Annullata"" cancelled state, matching both example elements in the description."
23,00:54:11,tutorial-step,Creating users and groups,023_005411_creating-users-and-groups.jpg,vision-verified,023_005411_creating-users-and-groups__c5_t3371.jpg,"Shows a newly saved group record named DIRTEC with description ""Direzione tecnica"" and ""E' un gruppo"" checked, matching the Direzione Tecnica example group in the description."
24,00:56:37,tutorial-step,Assigning a group as task executor,024_005637_assigning-a-group-as-task-executor.jpg,vision-verified,024_005637_assigning-a-group-as-task-executor__c1_t3416.jpg,"Shows the Impostazioni Utenti dialog with the group AMM highlighted and its Esecutore checkbox checked for the Approvazione controllo di gestione activity, matching the group-as-executor assignment described."
25,00:58:15,concept-intro,"""Must be assigned before execution"" flag",025_005815_must-be-assigned-before-execution-flag.jpg,vision-verified,025_005815_must-be-assigned-before-execution-flag__c0_t3495.jpg,"Shows the 'Impostazioni Utenti' dialog with the unchecked checkbox labeled 'Task deve essere assegnato prima di potere essere eseguito', which is exactly the flag described."
26,01:01:44,tutorial-step,Save process to file,,vision-verified-none,,"All 6 candidates in this window just show the idle process diagram with no Salva/save-to-file menu or dialog ever appearing; the actual save-to-file action (visible later, bleeding into item 27's window) falls outside this item's own candidate set."
27,01:02:05,tutorial-step,Naming and publishing the model,027_010205_naming-and-publishing-the-model.jpg,vision-verified,027_010205_naming-and-publishing-the-model__c5_t3845.jpg,"The workflow tab is now labeled 'RICHIESTA INV' (matching the example model name) and the properties panel shows Versione R00, confirming the model was named and published."
28,01:05:43,demo-start,Opening the variable warehouse,028_010543_opening-the-variable-warehouse.jpg,vision-verified,028_010543_opening-the-variable-warehouse__c1_t3960.jpg,"Shows the Strumenti ribbon with the 'Inserimento/modifica variabili' button highlighted/being clicked, the exact action that opens the variable warehouse."
29,01:07:11,tutorial-step,Creating the first variable,029_010711_creating-the-first-variable.jpg,vision-verified,029_010711_creating-the-first-variable__c4_t4108.jpg,"Shows the newly created RICHIEDENTE (String) variable already dragged onto the form canvas, matching the described creation-and-drag action."
